institute_code,institute_name,program_code,program_name,category,gender,quota,year,opening_rank,closing_rank,total_seats,student_rank,admitted
111003,NIT Warangal,111003_ECE,ECE,EWS,Gender-Neutral,AI,2021,706,964,30,828,1
111004,MNIT Jaipur,111004_ECE,ECE,EWS,Gender-Neutral,AI,2021,517,726,34,506,1
111004,MNIT Jaipur,111004_ECE,ECE,EWS,Gender-Neutral,AI,2022,755,960,34,901,1
111004,MNIT Jaipur,111004_CSE,CSE,EWS,Gender-Neutral,AI,2023,271,441,37,358,1
111003,NIT Warangal,111003_CSE,CSE,EWS,Gender-Neutral,AI,2020,716,988,29,1153,0
111004,MNIT Jaipur,111004_CSE,CSE,EWS,Gender-Neutral,AI,2023,271,441,37,591,0
111004,MNIT Jaipur,111004_CSE,CSE,EWS,Gender-Neutral,AI,2021,477,774,23,687,1
111003,NIT Warangal,111003_ECE,ECE,OPEN,Gender-Neutral,AI,2020,541,717,25,932,0
111005,VNIT Nagpur,111005_CSE,CSE,EWS,Gender-Neutral,AI,2022,519,703,26,607,1
111001,MNNIT Allahabad,111001_ECE,ECE,OPEN,Gender-Neutral,AI,2021,360,577,20,575,1
111005,VNIT Nagpur,111005_CSE,CSE,EWS,Gender-Neutral,AI,2020,250,414,23,333,1
111001,MNNIT Allahabad,111001_CSE,CSE,EWS,Gender-Neutral,AI,2023,370,548,23,448,1
111004,MNIT Jaipur,111004_CSE,CSE,EWS,Gender-Neutral,AI,2021,477,774,23,947,0
111005,VNIT Nagpur,111005_ECE,ECE,OPEN,Gender-Neutral,AI,2023,536,821,27,498,1
111005,VNIT Nagpur,111005_ECE,ECE,EWS,Gender-Neutral,AI,2021,684,949,22,782,1
111005,VNIT Nagpur,111005_CSE,CSE,OPEN,Gender-Neutral,AI,2024,618,917,30,1099,0
111002,NITK Surathkal,111002_CSE,CSE,OPEN,Gender-Neutral,AI,2024,250,403,20,488,0
111005,VNIT Nagpur,111005_CSE,CSE,OPEN,Gender-Neutral,AI,2024,618,917,30,922,0
111004,MNIT Jaipur,111004_ECE,ECE,OPEN,Gender-Neutral,AI,2023,510,778,30,1089,0
111002,NITK Surathkal,111002_ECE,ECE,EWS,Gender-Neutral,AI,2020,305,505,36,526,0
111003,NIT Warangal,111003_ECE,ECE,OPEN,Gender-Neutral,AI,2022,718,1004,38,915,1
111001,MNNIT Allahabad,111001_ECE,ECE,OPEN,Gender-Neutral,AI,2023,250,462,36,625,0
111002,NITK Surathkal,111002_ECE,ECE,EWS,Gender-Neutral,AI,2023,200,439,33,348,1
111003,NIT Warangal,111003_ECE,ECE,EWS,Gender-Neutral,AI,2021,706,964,30,1066,0
111002,NITK Surathkal,111002_CSE,CSE,EWS,Gender-Neutral,AI,2020,617,881,28,1015,0
111002,NITK Surathkal,111002_CSE,CSE,EWS,Gender-Neutral,AI,2021,268,516,31,370,1
111001,MNNIT Allahabad,111001_ECE,ECE,EWS,Gender-Neutral,AI,2020,688,965,26,902,1
111005,VNIT Nagpur,111005_ECE,ECE,OPEN,Gender-Neutral,AI,2024,238,399,28,537,0
111005,VNIT Nagpur,111005_ECE,ECE,EWS,Gender-Neutral,AI,2020,736,964,23,891,1
111005,VNIT Nagpur,111005_ECE,ECE,EWS,Gender-Neutral,AI,2022,596,858,28,487,1
111002,NITK Surathkal,111002_ECE,ECE,OPEN,Gender-Neutral,AI,2022,308,603,34,601,1
111001,MNNIT Allahabad,111001_ECE,ECE,OPEN,Gender-Neutral,AI,2021,360,577,20,635,0
111004,MNIT Jaipur,111004_CSE,CSE,OPEN,Gender-Neutral,AI,2021,477,774,23,711,1
111003,NIT Warangal,111003_CSE,CSE,OPEN,Gender-Neutral,AI,2024,460,646,25,643,1
111002,NITK Surathkal,111002_ECE,ECE,EWS,Gender-Neutral,AI,2023,200,439,33,283,1
111001,MNNIT Allahabad,111001_ECE,ECE,OPEN,Gender-Neutral,AI,2024,285,463,33,320,1
111004,MNIT Jaipur,111004_CSE,CSE,OPEN,Gender-Neutral,AI,2024,752,1015,31,875,1
111003,NIT Warangal,111003_ECE,ECE,OPEN,Gender-Neutral,AI,2024,415,567,22,525,1
111005,VNIT Nagpur,111005_ECE,ECE,OPEN,Gender-Neutral,AI,2020,736,964,23,777,1
111001,MNNIT Allahabad,111001_CSE,CSE,EWS,Gender-Neutral,AI,2022,720,957,20,1025,0
111002,NITK Surathkal,111002_ECE,ECE,EWS,Gender-Neutral,AI,2021,247,457,36,534,0
111001,MNNIT Allahabad,111001_CSE,CSE,EWS,Gender-Neutral,AI,2024,696,897,31,1203,0
111002,NITK Surathkal,111002_ECE,ECE,EWS,Gender-Neutral,AI,2020,305,505,36,422,1
111005,VNIT Nagpur,111005_ECE,ECE,OPEN,Gender-Neutral,AI,2023,536,821,27,916,0
111002,NITK Surathkal,111002_CSE,CSE,OPEN,Gender-Neutral,AI,2024,250,403,20,408,0
111002,NITK Surathkal,111002_CSE,CSE,EWS,Gender-Neutral,AI,2023,572,729,23,735,0
111005,VNIT Nagpur,111005_ECE,ECE,OPEN,Gender-Neutral,AI,2021,684,949,22,839,1
111004,MNIT Jaipur,111004_CSE,CSE,EWS,Gender-Neutral,AI,2020,488,643,38,713,0
111003,NIT Warangal,111003_CSE,CSE,OPEN,Gender-Neutral,AI,2021,577,863,38,1057,0
111005,VNIT Nagpur,111005_CSE,CSE,OPEN,Gender-Neutral,AI,2021,317,487,28,371,1
111003,NIT Warangal,111003_ECE,ECE,EWS,Gender-Neutral,AI,2023,465,717,39,740,0
111005,VNIT Nagpur,111005_CSE,CSE,OPEN,Gender-Neutral,AI,2023,676,856,34,662,1
111002,NITK Surathkal,111002_CSE,CSE,OPEN,Gender-Neutral,AI,2023,572,729,23,652,1
111003,NIT Warangal,111003_ECE,ECE,OPEN,Gender-Neutral,AI,2023,465,717,39,920,0
111001,MNNIT Allahabad,111001_CSE,CSE,OPEN,Gender-Neutral,AI,2021,539,780,34,599,1
111001,MNNIT Allahabad,111001_CSE,CSE,OPEN,Gender-Neutral,AI,2021,539,780,34,638,1
111004,MNIT Jaipur,111004_CSE,CSE,EWS,Gender-Neutral,AI,2020,488,643,38,600,1
111001,MNNIT Allahabad,111001_CSE,CSE,OPEN,Gender-Neutral,AI,2020,302,544,34,497,1
111002,NITK Surathkal,111002_CSE,CSE,EWS,Gender-Neutral,AI,2021,268,516,31,392,1
111005,VNIT Nagpur,111005_CSE,CSE,OPEN,Gender-Neutral,AI,2021,317,487,28,543,0
111002,NITK Surathkal,111002_CSE,CSE,OPEN,Gender-Neutral,AI,2024,250,403,20,474,0
